GPStime,peakFreq,snr,Standard example? (y/n)
1238368903.375,26.394,9.166,y
1243912367.625,32.415,12.419,y
1238352209.188,33.598,11.166,y
1244523261.313,31.594,9.578,y
1253409902.625,33.983,13.849,y
1238616913.188,31.851,7.637,n
1242136965.125,33.983,14.383,n
1252158343.375,32.415,9.698,y
1244756881.875,31.509,9.616,y
1252797658.875,31.213,10.951,y
1242267550.625,33.663,13.564,y
1242266965.125,30.341,9.101,y
1250716113.625,27.868,9.369,y
1250452709.375,31.809,10.213,y
1253417219.563,29.418,10.06,y
1238640903.813,24.822,9.74,y
1242184959.188,30.487,9.382,y
1247970031.313,31.594,45.816,y
1245672045.625,31.809,10.604,y
1251534512.938,29.948,14.959,y
1245672461.875,23.959,27.02,y
1249854607.313,32.741,9.146,y
1238356305.188,23.953,9.898,y
1238352764.375,26.898,30.3,y
1244953157.813,31.035,9.283,n
1253943676.375,26.835,11.234,y
1238562619.375,29.288,10.806,y
1242182296.313,25.507,9.825,y
1239964180.813,29.661,15.716,y
1253761476.125,33.033,12.885,y
1251533715.438,26.909,9.075,n
1239224073.375,29.847,7.755,n
1238352678.875,33.435,12.193,y
1244522949.625,33.033,14.223,y
1253940971.563,37.349,99.16,y
1245633013.875,32.11,12.875,y
1244981355.875,32.723,9.481,y
1253297269.875,28.133,9.469,y
1238643154.438,38.897,17.334,y
1245308883.125,33.983,10.956,y
1250732272.125,30.92,12.577,y
1245414583.875,32.415,11.034,y
1244072355.875,32.723,7.992,y
1247083784.531,30.749,9.139,n
1245112057.875,31.509,8.941,y
1238373126.375,25.175,9.561,y
1245414308.813,32.741,9.088,y
1239249407.875,30.417,10.261,n
1251534487.938,26.909,9.993,y
1243635591.563,32.741,13.071,y
1240329621.688,32.423,9.677,y
1242677905.688,32.741,7.638,y
1239297125.625,32.808,20.92,y
1250783624.625,28.941,13.301,y
1245280165.938,30.487,8.083,n
1239249226.875,33.12,12.746,y
1253940701.688,44.692,22.666,y
1238355441.813,31.851,10.125,n
1244700841.875,29.773,9.739,n
1238355163.063,23.953,12.202,y
1242843801.875,28.941,11.839,y
1250188574.625,28.941,15.187,y
1240347459.938,23.953,12.428,y
1253416889.813,32.162,8.982,y
1253299170.625,31.509,13.702,y
1242315820.875,31.809,10.853,y
1252797652.438,31.594,8.663,y
1250734521.188,36.65,12.088,y
1244980040.188,27.886,7.916,y
1253418681.563,30.487,7.839,y
1253414946.813,32.741,8.945,y
1238634459.938,30.736,11.644,y
1253572999.375,32.11,12.106,n
1244700634.063,29.948,9.908,y
1253298174.188,26.909,9.898,y
1245295795.375,30.629,7.984,y
1245415004.438,30.487,7.636,y
1252798064.375,31.509,12.199,y
1248799166.563,26.433,10.478,y
1243286707.813,30.487,8.07,n
1245110833.781,31.798,8.994,n
1252619508.875,31.509,9.478,y
1253656250.563,31.594,15.69,y
1251533873.125,26.333,15.107,y
1253656798.063,28.898,10.708,y
1252797015.188,37.704,9.351,y
1240328666.063,31.288,7.768,n
1246508322.938,29.948,7.645,y
1244955962.875,30.92,13.915,y
1251556231.813,28.388,11.632,y
1242637480.875,34.305,14.26,y
1248763610.375,23.959,12.421,y
1244940885.625,30.629,13.403,y
1250188666.375,26.835,11.225,y
1247454371.938,31.035,9.565,y
1253416023.875,31.213,12.542,y
1253579271.563,30.487,7.787,y
1238569826.313,30.736,9.967,y
1240338882.313,30.193,7.905,y
1245113280.063,29.948,7.546,y
1248798796.938,27.886,11.782,y
1244700659.375,31.509,11.581,y
1249338965.438,29.418,10.868,y
1247369295.438,27.886,11.191,y
1249589946.313,34.541,9.349,y
1238619662.375,29.847,35.796,n
1248763261.563,24.613,16.392,y
1247122882.625,30.629,12.216,y
1238519661.875,30.706,8.741,y
1244497479.875,18.92,12.226,y
1244953292.813,31.035,8.187,y
1242947560.563,29.418,11.002,y
1240104928.313,30.736,10.888,n
1239742348.375,32.499,8.254,y
1245414157.125,34.631,16.177,y
1238369377.813,33.005,7.828,y
1245367484.125,31.809,13.639,y
1247530704.688,30.487,11.745,y
1245415534.625,33.347,11.38,y
1248328714.813,31.035,11.02,n
1247768620.625,27.868,9.469,y
1250188566.125,30.92,8.505,y
1247969917.438,27.393,8.446,y
