GPStime,peakFreq,snr,Standard example? (y/n)
1260175628.574,32.173,9.785,n
1260566095.102,30.734,9.023,y
1259249283.813,33.33,12.631,y
1259214522.566,26.015,9.934,y
1258013459.074,39.789,8.387,y
1262180557.875,18.835,7.709,y
1259251652.711,27.308,8.553,y
1258014085.375,31.213,14.964,y
1259400840.367,30.734,10.597,y
1258402857.313,45.544,8.397,n
1260563749.285,32.173,9.439,y
1261359227.625,27.868,9.541,n
1260566345.563,33.33,11.87,y
1260895873.523,30.734,10.011,y
1260544888.184,26.015,7.722,y
1262296321.109,28.43,7.822,y
1257529399.305,27.308,8.837,y
1262515371.676,26.015,9.459,y
1262302829.875,34.96,13.468,n
1258599649.102,30.734,9.505,y
1259214696.375,24.882,9.66,n
1260597368.531,28.755,11.213,y
1262509964.695,30.734,11.285,y
1259202197.195,27.308,9.713,y
1260207306.422,32.268,10.256,n
1259408580.055,30.734,12.483,y
1258965175.648,24.264,8.005,y
1258799788.875,29.216,8.504,y
1258014647.992,43.814,7.808,y
1260564873.289,30.734,10.191,y
1261551216.625,19.463,18.975,y
1257311502.125,31.809,14.012,y
1257902482.008,34.59,8.106,n
1257917479.461,34.59,11.523,y
1259261180.313,23.75,8.411,y
1257243812.887,26.015,8.15,y
1262146695.766,30.288,9.981,n
1257519383.625,30.629,12.026,y
1260728370.453,34.378,9.101,n
1262522182.375,27.09,11.017,y
1262738056.613,32.173,9.783,y
1262504281.375,31.509,15.008,y
1262800943.813,28.898,7.869,n
1262521870.789,30.734,7.728,y
1262511531.805,30.734,9.182,y
1262176136.539,34.59,10.363,y
1262831928.148,34.59,8.757,y
1258854762.516,30.288,7.515,n
1257776061.438,29.948,9.827,y
1260158696.555,30.734,13.458,y
1259401377.648,27.308,10.067,y
1262518677.105,32.173,7.669,y
1258860299.305,30.734,7.678,n
1259136695.180,27.308,17.298,y
1262370738.781,31.798,9.35,n
1260575019.914,27.308,8.163,y
1260308610.375,31.213,18.479,y
1262502462.129,26.015,8.783,y
1259260026.625,23.071,12.154,n
1262398874.555,27.308,8.67,y
1257815179.141,36.625,8.227,n
1262550472.727,27.308,9.859,y
1260569047.039,27.308,13.187,y
1259400403.148,30.734,9.029,y
1262015423.438,26.909,8.737,y
1262761212.301,32.173,12.341,n
1262311318.625,26.835,7.528,n
1262851223.328,32.268,7.741,n
1259395898.023,30.734,8.467,y
1260571373.477,34.59,10.894,y
1261315040.328,26.685,7.76,y
1262173513.336,34.59,10.23,n
1257553737.934,32.173,9.097,y
1260155114.395,26.015,13.116,y
1257989869.453,32.268,8.184,n
1260160866.539,30.734,8.301,y
1260559117.273,27.308,11.679,y
1260226923.313,32.162,8.451,n
1258967679.375,28.941,8.732,y
1260853830.875,30.92,10.983,y
1262224951.438,28.898,9.364,n
1257764272.285,32.173,8.789,y
1259266710.289,27.308,8.91,y
1259253860.367,30.734,8.579,y
1262927613.063,27.886,8.581,y
1259259733.227,27.308,8.896,y
1258849823.313,28.388,7.674,n
1257819228.422,39.02,7.903,n
1262230277.375,30.92,11.796,n
1257993661.703,28.43,7.801,y
1259266174.086,30.734,7.518,y
1260581648.645,32.173,10.999,y
1262512248.648,30.734,7.658,y
1258360770.832,39.789,15.701,y
1260606871.125,29.216,9.569,y
1259259900.625,24.648,8.349,y
1258884964.109,26.685,8.323,y
1259258140.406,29.735,8.525,y
1259211057.879,32.173,11.52,y
1262515757.273,27.308,7.571,y
1259399489.461,30.734,12.968,y
1260613311.570,24.264,9.071,y
1260617699.375,31.509,10.896,y
1261539979.188,27.393,8.87,y
1259206720.145,26.015,8.796,y
1257736068.520,32.173,8.699,y
1260594379.262,26.015,9.29,y
1259267332.258,30.734,9.033,y
1262521245.664,27.308,9.117,y
1262758957.688,19.174,12.061,y
